country,total_infected,total_deaths,total_recovered,death_percent,recovered_percent,continent
USA,47916190,783565,37918301,1.6,79.1,North America
India,34447536,463655,33849785,1.3,98.3,Asia
Brazil,21957967,611318,21151342,2.8,96.3,South America
UK,9561099,142898,7825200,1.5,81.8,Europe
Russia,9109094,256597,7812557,2.8,85.8,Asia
Turkey,8408166,73531,7888959,0.9,93.8,Europe
France,7287645,118154,7009026,1.6,96.2,Europe
Iran,6045212,128272,5708253,2.1,94.4,Asia
Argentina,5305742,116232,5172193,2.2,97.5,South America
Spain,5047156,87673,4889801,1.7,96.9,Europe
Germany,5038436,98194,4494300,1.9,89.2,Europe
Colombia,5031945,127809,4872420,2.5,96.8,South America
Italy,4860061,132775,4608056,2.7,94.8,Europe
Indonesia,4251076,143670,4098884,3.4,96.4,Asia
Mexico,3845733,291147,3206890,7.6,83.4,North America
Ukraine,3228441,77147,2642459,2.4,81.8,Europe
Poland,3214023,78879,2817206,2.5,87.7,Europe
South Africa,2925939,89484,2819688,3.1,96.4,Africa
Philippines,2818511,45709,2745777,1.6,97.4,Asia
Malaysia,2546309,29676,2451216,1.2,96.3,Asia
Netherlands,2295107,18734,2025305,0.8,88.2,Europe
Peru,2214543,200635,1720665,9.1,77.7,South America
Iraq,2069247,23503,2025057,1.1,97.9,Asia
Thailand,2024753,20079,1910509,1,94.4,Asia
Czech Republic,1896075,31541,1722749,1.7,90.9,Europe
Canada,1748391,29337,1693037,1.7,96.8,North America
Romania,1744440,53264,1587856,3.1,91,Europe
Chile,1726481,37975,1643486,2.2,95.2,South America
Japan,1725466,18327,1705474,1.1,98.8,Asia
Bangladesh,1572501,27922,1536515,1.8,97.7,Asia
Belgium,1484712,26321,1242741,1.8,83.7,Europe
Israel,1337493,8143,1323574,0.6,99,Asia
Pakistan,1279876,28612,1228473,2.2,96,Asia
Serbia,1211163,10839,1108124,0.9,91.5,Europe
Sweden,1182471,15051,1147455,1.3,97,Europe
Portugal,1107488,18257,1051300,1.6,94.9,Europe
Vietnam,1035138,23183,864516,2.2,83.5,Asia
Austria,971541,11746,842934,1.2,86.8,Europe
Hungary,960844,32171,825775,3.3,85.9,Europe
Cuba,958738,8282,948649,0.9,98.9,North America
Kazakhstan,957537,12434,915369,1.3,95.6,Asia
Morocco,948226,14743,930012,1.6,98.1,Africa
Switzerland,918745,11356,844708,1.2,91.9,Europe
Jordan,892123,11238,851303,1.3,95.4,Asia
Greece,831874,16766,737765,2,88.7,Europe
Nepal,817333,11478,798544,1.4,97.7,Asia
Georgia,785911,11057,722399,1.4,91.9,Europe
UAE,741006,2144,735638,0.3,99.3,Asia
Tunisia,715687,25311,689504,3.5,96.3,Africa
Bulgaria,655647,26279,516141,4,78.7,Europe
Lebanon,652735,8582,623694,1.3,95.6,Asia
Belarus,629271,4861,609243,0.8,96.8,Europe
Guatemala,610004,15714,591720,2.6,97,North America
Costa Rica,564159,7197,524560,1.3,93,North America
Slovakia,563445,13598,472092,2.4,83.8,Europe
Azerbaijan,560853,7445,522431,1.3,93.1,Europe
Sri Lanka,551343,13995,523929,2.5,95,Asia
Saudi Arabia,549260,8816,538329,1.6,98,Asia
Croatia,539887,9936,495889,1.8,91.9,Europe
Bolivia,523485,19017,482744,3.6,92.2,South America
Ecuador,519560,32989,443880,6.3,85.4,South America
Myanmar,513262,18929,484340,3.7,94.4,Asia
Ireland,498448,5566,407512,1.1,81.8,Europe
Panama,474621,7343,465473,1.5,98.1,North America
Paraguay,461957,16337,444977,3.5,96.3,South America
Lithuania,444181,6344,401124,1.4,90.3,Europe
Denmark,426992,2772,387199,0.6,90.7,Europe
Palestine,426798,4486,419178,1.1,98.2,Asia
Venezuela,419745,5026,405840,1.2,96.7,South America
Kuwait,413008,2462,410277,0.6,99.3,Asia
South Korea,397466,3115,362834,0.8,91.3,Asia
Uruguay,396545,6101,388424,1.5,98,South America
Dominican Republic,395856,4170,387191,1.1,97.8,North America
Slovenia,379964,4953,332168,1.3,87.4,Europe
Honduras,376967,10353,117912,2.7,31.3,North America
Mongolia,373344,1888,313256,0.5,83.9,Asia
Ethiopia,368822,6623,344707,1.8,93.5,Africa
Libya,365237,5307,318816,1.5,87.3,Africa
Moldova,352822,8495,332709,2.4,94.3,Europe
Egypt,343961,19499,287682,5.7,83.6,Africa
Armenia,329341,7055,295722,2.1,89.8,Europe
Oman,304437,4113,299853,1.4,98.5,Asia
Bahrain,277223,1393,275590,0.5,99.4,Asia
Bosnia and Herzegovina,263587,11962,192218,4.5,72.9,Europe
Kenya,254309,5319,247682,2.1,97.4,Africa
Qatar,241232,611,238965,0.3,99.1,Asia
Latvia,240762,3765,216645,1.6,90,Europe
Singapore,237203,586,212724,0.2,89.7,Asia
Norway,228526,951,88952,0.4,38.9,Europe
Nigeria,213147,2968,205732,1.4,96.5,Africa
Estonia,212607,1690,184487,0.8,86.8,Europe
Zambia,209996,3666,206209,1.7,98.2,Africa
North Macedonia,209277,7328,193400,3.5,92.4,Europe
Algeria,207970,5984,142698,2.9,68.6,Africa
Botswana,193701,2411,190577,1.2,98.4,Africa
Albania,193075,2990,181649,1.5,94.1,Europe
Australia,190624,1888,167278,1,87.8,Oceania
Uzbekistan,189915,1358,186191,0.7,98,Asia
Kyrgyzstan,182425,2707,176909,1.5,97,Asia
Finland,170285,1230,46000,0.7,27,Europe
Afghanistan,156610,7294,129263,4.7,82.5,Asia
Montenegro,152087,2207,144828,1.5,95.2,Europe
Mozambique,151427,1936,151382,1.3,100,Africa
Zimbabwe,133438,4697,128287,3.5,96.1,Africa
Ghana,130649,1206,128331,0.9,98.2,Africa
Namibia,129060,3565,125354,2.8,97.1,Africa
Uganda,126965,3239,97025,2.6,76.4,Africa
Cyprus,124225,577,90755,0.5,73.1,Europe
Cambodia,119588,2872,115979,2.4,97,Asia
El Salvador,117884,3728,100780,3.2,85.5,North America
Cameroon,106190,1770,102716,1.7,96.7,Africa
Rwanda,100136,1338,45519,1.3,45.5,Africa
China,98315,4636,92332,4.7,93.9,Asia
Jamaica,90209,2327,60594,2.6,67.2,North America
Maldives,89840,247,87384,0.3,97.3,Asia
Luxembourg,84248,855,80572,1,95.6,Europe
Senegal,73958,1881,72063,2.5,97.4,Africa
Angola,64913,1727,61687,2.7,95,Africa
Trinidad and Tobago,62267,1858,53578,3,86,North America
Malawi,61843,2302,58604,3.7,94.8,Africa
DRC,57729,1099,50930,1.9,88.2,Africa
R̩union,55865,376,54058,0.7,96.8,North America
Guadeloupe,54920,745,2250,1.4,4.1,North America
Fiji,52397,679,50316,1.3,96,Oceania
Suriname,50078,1139,29529,2.3,59,South America
Syria,46275,2666,27675,5.8,59.8,Asia
French Guiana,45366,322,11254,0.7,24.8,South America
Martinique,43881,700,104,1.6,0.2,North America
Madagascar,43672,964,42545,2.2,97.4,Africa
Sudan,40238,3099,32905,7.7,81.8,Africa
French Polynesia,40178,636,33500,1.6,83.4,Oceania
Malta,38255,462,36797,1.2,96.2,Europe
Mauritania,38133,807,36570,2.1,95.9,Africa
Guyana,36817,959,33504,2.6,91,South America
Gabon,36692,266,30083,0.7,82,Africa
Papua New Guinea,32985,436,31244,1.3,94.7,Oceania
Guinea,30715,387,29650,1.3,96.5,Africa
Belize,28899,534,26418,1.8,91.4,North America
Tanzania,26196,725,183,2.8,0.7,Africa
Togo,26158,243,25813,0.9,98.7,Africa
Benin,24833,161,24546,0.6,98.8,Africa
Haiti,24543,708,20675,2.9,84.2,North America
Somalia,22837,1313,11189,5.7,49,Africa
Seychelles,22633,122,22191,0.5,98,Africa
Bahamas,22572,665,21512,2.9,95.3,North America
Barbados,22093,193,13639,0.9,61.7,North America
Lesotho,21691,661,13098,3,60.4,Africa
Mayotte,20769,185,2964,0.9,14.3,Africa
Burundi,20221,38,773,0.2,3.8,Africa
Timor-Leste,19810,122,19682,0.6,99.4,Asia
Mauritius,18979,240,1854,1.3,9.8,Africa
Congo,18153,309,12421,1.7,68.4,Africa
Cura̤ao,17225,175,16952,1,98.4,
Tajikistan,17091,124,16965,0.7,99.3,Asia
Nicaragua,16877,207,4225,1.2,25,North America
Mali,16666,585,14836,3.5,89,Africa
Taiwan,16496,848,15532,5.1,94.2,Asia
Aruba,16083,172,15767,1.1,98,North America
Andorra,15819,130,15443,0.8,97.6,Europe
Iceland,15741,34,14015,0.2,89,Europe
Burkina Faso,15281,234,14833,1.5,97.1,Africa
Channel Islands,14519,100,13250,0.7,91.3,Europe
Brunei,14215,96,13562,0.7,95.4,Asia
Djibouti,13495,186,13284,1.4,98.4,Africa
Equatorial Guinea,13485,168,13110,1.2,97.2,Africa
Saint Lucia,12837,270,12318,2.1,96,North America
South Sudan,12558,133,12169,1.1,96.9,Africa
Hong Kong,12388,213,12092,1.7,97.6,Asia
Central African Republic,11666,101,6859,0.9,58.8,Africa
New Caledonia,11620,272,58,2.3,0.5,
Isle of Man,10255,64,9837,0.6,95.9,Europe
Gambia,9980,341,9624,3.4,96.4,Africa
Yemen,9918,1923,6623,19.4,66.8,Asia
New Zealand,8866,34,5176,0.4,58.4,Oceania
Eritrea,7055,51,6862,0.7,97.3,Africa
Niger,6692,232,6218,3.5,92.9,Africa
Gibraltar,6561,98,5991,1.5,91.3,Europe
Guinea-Bissau,6402,144,6080,2.2,95,Africa
Sierra Leone,6396,121,4393,1.9,68.7,Africa
Liberia,5915,287,5458,4.9,92.3,Africa
Grenada,5863,200,5601,3.4,95.5,North America
Bermuda,5708,106,5544,1.9,97.1,North America
San Marino,5598,92,5439,1.6,97.2,Europe
Dominica,5336,35,4937,0.7,92.5,North America
Saint Vincent and the Grenadines,5270,71,3978,1.3,75.5,North America
Chad,5105,175,4874,3.4,95.5,Africa
Sint Maarten,4532,75,4428,1.7,97.7,
Comoros,4396,149,4161,3.4,94.7,Africa
Cayman Islands,4203,2,1352,0,32.2,North America
Antigua and Barbuda,4118,107,3902,2.6,94.8,North America
Saint Martin,3872,56,1399,1.4,36.1,North America
Liechtenstein,3822,61,3615,1.6,94.6,Europe
Monaco,3478,36,3400,1,97.8,Europe
Faroe Islands,2939,8,2365,0.3,80.5,Europe
Saint Kitts and Nevis,2749,27,2649,1,96.4,North America
British Virgin Islands,2725,37,2649,1.4,97.2,North America
Caribbean Netherlands,2628,21,2498,0.8,95.1,
Bhutan,2625,3,2616,0.1,99.7,Asia
Anguilla,1137,4,1053,0.4,92.6,
Greenland,990,0,870,0,87.9,North America
Diamond Princess,712,13,699,1.8,98.2,
Wallis and Futuna,445,7,438,1.6,98.4,
Macao,77,0,76,0,98.7,
Montserrat,41,1,40,2.4,97.6,
Solomon Islands,20,0,20,0,100,Oceania
Western Sahara,10,1,8,10,80,
Palau,8,0,8,0,100,Oceania
Vanuatu,6,1,3,16.7,50,Oceania
Marshall Islands,4,0,4,0,100,Oceania
Samoa,3,0,3,0,100,Oceania
Micronesia,1,0,1,0,100,Oceania
Tonga,1,0,0,0,0,Oceania
